iter	Passed	Remaining
0	145	145732
1	147	73481
2	148	49363
3	149	37294
4	151	30101
5	152	25304
6	156	22261
7	158	19684
8	161	17768
9	162	16106
10	163	14738
11	165	13597
12	166	12660
13	170	11987
14	172	11326
15	173	10697
16	175	10153
17	176	9652
18	178	9200
19	182	8934
20	185	8636
21	186	8291
22	187	7984
23	189	7702
24	190	7439
25	193	7241
26	195	7034
27	197	6858
28	198	6662
29	200	6478
30	201	6303
31	202	6136
32	207	6094
33	209	5960
34	211	5824
35	212	5690
36	215	5606
37	217	5495
38	219	5398
39	221	5309
40	222	5206
41	223	5109
42	225	5011
43	229	4994
44	232	4923
45	233	4850
46	235	4772
47	236	4693
48	237	4615
49	239	4550
50	242	4510
51	245	4478
52	247	4413
53	248	4351
54	249	4291
55	251	4233
56	253	4195
57	255	4144
58	257	4113
59	259	4059
60	260	4007
61	262	3971
62	263	3922
63	265	3881
64	266	3839
65	268	3805
66	270	3765
67	271	3715
68	272	3674
69	273	3635
70	275	3598
71	278	3588
72	280	3565
73	282	3530
74	283	3498
75	284	3463
76	286	3430
77	287	3404
78	289	3380
79	292	3366
80	294	3339
81	295	3309
82	296	3280
83	298	3258
84	299	3225
85	300	3197
86	302	3172
87	304	3157
88	307	3142
89	308	3117
90	309	3094
91	311	3070
92	312	3049
93	315	3037
94	316	3017
95	317	2994
96	319	2970
97	321	2955
98	322	2932
99	326	2935
100	328	2924
101	329	2899
102	330	2879
103	332	2860
104	333	2842
105	334	2823
106	339	2830
107	342	2832
108	344	2814
109	346	2800
110	347	2783
111	348	2765
112	353	2776
113	357	2775
114	358	2758
115	360	2746
116	361	2730
117	368	2750
118	369	2739
119	372	2728
120	373	2712
121	374	2697
122	375	2680
123	379	2679
124	380	2664
125	383	2657
126	384	2642
127	385	2627
128	391	2641
129	393	2634
130	395	2622
131	396	2610
132	405	2646
133	408	2640
134	410	2629
135	411	2615
136	416	2623
137	418	2616
138	420	2605
139	422	2595
140	423	2582
141	425	2569
142	427	2562
143	429	2551
144	430	2539
145	432	2526
146	433	2514
147	434	2503
148	436	2490
149	438	2484
150	442	2485
151	443	2474
152	444	2463
153	446	2451
154	447	2439
155	452	2447
156	454	2439
157	455	2429
158	458	2422
159	459	2414
160	461	2403
161	467	2419
162	470	2413
163	471	2405
164	473	2395
165	474	2385
166	476	2377
167	477	2367
168	479	2356
169	480	2348
170	482	2338
171	483	2328
172	485	2319
173	486	2310
174	488	2301
175	489	2293
176	491	2283
177	492	2273
178	493	2265
179	495	2256
180	495	2244
181	497	2236
182	498	2226
183	500	2218
184	501	2210
185	503	2202
186	504	2193
187	506	2186
188	507	2178
189	509	2171
190	510	2164
191	512	2156
192	513	2148
193	515	2141
194	516	2132
195	518	2125
196	519	2118
197	521	2111
198	522	2104
199	524	2099
200	527	2095
201	529	2091
202	530	2084
203	532	2077
204	533	2070
205	535	2063
206	536	2056
207	538	2051
208	540	2044
209	542	2039
210	543	2034
211	545	2028
212	547	2023
213	552	2028
214	555	2026
215	556	2019
216	559	2017
217	562	2016
218	563	2009
219	564	2002
220	566	1997
221	569	1995
222	571	1991
223	573	1986
224	575	1980
225	576	1975
226	578	1970
227	580	1964
228	582	1960
229	584	1955
230	585	1950
231	587	1944
232	589	1938
233	591	1935
234	593	1931
235	594	1925
236	596	1920
237	597	1914
238	599	1908
239	600	1902
240	602	1896
241	603	1890
242	605	1886
243	607	1882
244	609	1877
245	610	1871
246	612	1866
247	613	1860
248	615	1854
249	616	1850
250	618	1846
251	620	1841
252	622	1836
253	624	1833
254	625	1827
255	626	1821
256	628	1816
257	629	1811
258	632	1809
259	636	1810
260	652	1847
261	657	1852
262	662	1856
263	664	1851
264	665	1847
265	667	1842
266	673	1848
267	675	1844
268	678	1843
269	680	1840
270	685	1844
271	687	1840
272	690	1837
273	692	1833
274	693	1829
275	696	1826
276	699	1826
277	702	1825
278	705	1823
279	709	1823
280	714	1828
281	718	1829
282	721	1828
283	731	1844
284	734	1841
285	738	1844
286	743	1845
287	744	1840
288	746	1835
289	748	1831
290	750	1828
291	751	1822
292	753	1817
293	754	1812
294	756	1807
295	757	1802
296	762	1806
297	765	1803
298	768	1802
299	770	1798
300	774	1798
301	776	1794
302	778	1791
303	780	1786
304	782	1783
305	783	1778
306	786	1775
307	788	1771
308	790	1767
309	791	1762
310	795	1763
311	798	1761
312	800	1756
313	802	1752
314	805	1752
315	807	1748
316	809	1744
317	812	1743
318	815	1740
319	819	1741
320	822	1738
321	824	1735
322	827	1733
323	831	1735
324	834	1732
325	837	1730
326	846	1741
327	850	1741
328	852	1737
329	855	1736
330	857	1734
331	861	1732
332	865	1734
333	867	1730
334	869	1726
335	873	1727
336	876	1723
337	878	1720
338	879	1715
339	888	1724
340	890	1720
341	891	1716
342	893	1711
343	901	1719
344	903	1716
345	905	1711
346	907	1707
347	914	1713
348	915	1708
349	917	1703
350	919	1700
351	921	1695
352	928	1702
353	930	1697
354	933	1695
355	934	1690
356	941	1695
357	942	1691
358	944	1686
359	946	1681
360	947	1677
361	951	1676
362	954	1674
363	956	1670
364	957	1666
365	959	1662
366	960	1657
367	963	1654
368	964	1650
369	966	1645
370	968	1641
371	970	1638
372	975	1640
373	977	1635
374	978	1630
375	980	1626
376	981	1622
377	987	1624
378	991	1624
379	993	1620
380	994	1615
381	1001	1620
382	1003	1616
383	1004	1612
384	1006	1607
385	1008	1604
386	1013	1606
387	1015	1602
388	1017	1597
389	1018	1593
390	1024	1595
391	1027	1593
392	1028	1589
393	1030	1584
394	1032	1580
395	1033	1576
396	1037	1576
397	1039	1572
398	1041	1568
399	1042	1564
400	1044	1560
401	1051	1564
402	1053	1560
403	1054	1556
404	1056	1552
405	1058	1548
406	1064	1551
407	1067	1548
408	1069	1545
409	1071	1541
410	1074	1539
411	1077	1537
412	1078	1533
413	1080	1529
414	1082	1526
415	1084	1522
416	1088	1521
417	1089	1516
418	1091	1513
419	1093	1509
420	1095	1506
421	1096	1502
422	1100	1500
423	1102	1497
424	1103	1493
425	1105	1490
426	1107	1485
427	1108	1481
428	1109	1476
429	1113	1475
430	1115	1472
431	1117	1468
432	1118	1464
433	1120	1460
434	1121	1456
435	1122	1452
436	1126	1450
437	1128	1447
438	1129	1443
439	1131	1439
440	1132	1435
441	1133	1431
442	1135	1427
443	1138	1425
444	1140	1422
445	1141	1418
446	1143	1414
447	1145	1410
448	1146	1406
449	1150	1405
450	1152	1402
451	1153	1398
452	1155	1394
453	1157	1391
454	1160	1389
455	1162	1386
456	1164	1383
457	1165	1379
458	1166	1375
459	1168	1371
460	1169	1367
461	1172	1364
462	1173	1361
463	1175	1357
464	1177	1354
465	1179	1351
466	1181	1348
467	1187	1349
468	1189	1346
469	1190	1342
470	1192	1339
471	1193	1335
472	1194	1331
473	1198	1329
474	1200	1326
475	1201	1322
476	1202	1318
477	1204	1315
478	1206	1311
479	1207	1307
480	1209	1304
481	1212	1302
482	1213	1298
483	1214	1295
484	1216	1291
485	1217	1287
486	1221	1286
487	1223	1284
488	1225	1280
489	1226	1276
490	1228	1273
491	1229	1269
492	1230	1265
493	1233	1263
494	1236	1261
495	1237	1257
496	1238	1253
497	1240	1250
498	1241	1246
499	1243	1243
500	1247	1242
501	1249	1239
502	1250	1235
503	1252	1232
504	1253	1229
505	1255	1225
506	1258	1224
507	1262	1222
508	1263	1219
509	1265	1215
510	1266	1212
511	1267	1208
512	1270	1206
513	1273	1204
514	1275	1201
515	1277	1198
516	1278	1194
517	1280	1191
518	1281	1187
519	1286	1187
520	1289	1185
521	1290	1181
522	1292	1178
523	1293	1174
524	1294	1171
525	1295	1167
526	1298	1165
527	1299	1161
528	1301	1158
529	1302	1155
530	1304	1151
531	1305	1148
532	1308	1146
533	1310	1143
534	1312	1141
535	1314	1137
536	1316	1135
537	1318	1132
538	1320	1129
539	1322	1126
540	1324	1124
541	1326	1120
542	1327	1117
543	1330	1115
544	1332	1112
545	1334	1109
546	1335	1106
547	1337	1102
548	1338	1099
549	1340	1096
550	1343	1094
551	1345	1092
552	1347	1089
553	1348	1085
554	1349	1082
555	1351	1079
556	1353	1076
557	1355	1073
558	1357	1070
559	1358	1067
560	1360	1064
561	1361	1060
562	1363	1058
563	1366	1056
564	1368	1053
565	1369	1050
566	1371	1047
567	1372	1044
568	1374	1040
569	1375	1037
570	1379	1036
571	1381	1033
572	1382	1030
573	1384	1027
574	1385	1024
575	1386	1020
576	1388	1017
577	1391	1016
578	1393	1013
579	1394	1010
580	1396	1007
581	1397	1003
582	1398	1000
583	1400	997
584	1401	994
585	1405	993
586	1407	990
587	1408	986
588	1409	983
589	1411	980
590	1412	977
591	1413	974
592	1418	973
593	1420	970
594	1421	967
595	1422	964
596	1423	961
597	1425	958
598	1426	955
599	1427	951
600	1431	950
601	1433	947
602	1434	944
603	1436	941
604	1437	938
605	1438	935
606	1440	932
607	1441	929
608	1445	928
609	1446	925
610	1448	921
611	1449	919
612	1450	915
613	1451	912
614	1453	909
615	1454	906
616	1458	905
617	1460	902
618	1461	899
